Type,Date,City,State,Address,Website_URL,Phone_Number,Details_URL
outdoor,2015-04-24,Mobile, AL,,http://AL.milesplit.com/teams/MCTO,,http://al.milesplit.com/meets/203153-ahsaa-6a-section-1
outdoor,2015-04-24,Madison, AL,,http://AL.milesplit.com/teams/jamc,,http://al.milesplit.com/meets/203152-ahsaa-5a-section-4
outdoor,2015-04-24,Tuscaloosa, AL,,http://AL.milesplit.com/teams/AMER,,http://al.milesplit.com/meets/203154-ahsaa-6a-section-2
outdoor,2015-04-24,Falkville, AL,,http://AL.milesplit.com/teams/CORN,,http://al.milesplit.com/meets/203151-ahsaa-5a-section-3
outdoor,2015-04-24,Mobile, AL,,http://AL.milesplit.com/teams/MCTO,,http://al.milesplit.com/meets/203149-ahsaa-5a-section-1
outdoor,2015-04-24,Madison, AL,,http://AL.milesplit.com/teams/jamc,,http://al.milesplit.com/meets/194724-ahsaa-4a-section-4
outdoor,2015-04-24,Beauregard, AL,,http://AL.milesplit.com/venues/5185,,http://al.milesplit.com/meets/194723-ahsaa-4a-section-3
outdoor,2015-04-24,Dora, AL,,http://AL.milesplit.com/teams/CORN,,http://al.milesplit.com/meets/194722-ahsaa-4a-section-2
outdoor,2015-04-24,Smiths Station, AL,,http://AL.milesplit.com/teams/SMTH,,http://al.milesplit.com/meets/194721-ahsaa-4a-section-1
indoor,2015-04-10,Anchorage, AK,,http://AK.milesplit.com/teams/GRACE,,http://ak.milesplit.com/meets/195743-big-c-relays
indoor,2015-04-04,, USA,,,,http://co.milesplit.com/meets/203404-w-tfa-state-indoor-championships
indoor,2015-03-21,West Lafayette, IN,,http://IN.milesplit.com/venues/17586,,http://in.milesplit.com/meets/192310-hoosier-state-relays
outdoor,2015-04-24,Mountain Brook, AL,,http://AL.milesplit.com/teams/MTBR,,http://al.milesplit.com/meets/194720-ahsaa-3a-section-4
indoor,2015-03-27,Bloomington, IL,,,,http://il.milesplit.com/meets/192572-illinois-top-times
outdoor,2015-04-24,Fort Payne, AL,,http://AL.milesplit.com/venues/12902,,http://al.milesplit.com/meets/194719-ahsaa-3a-section-3
indoor,2015-03-21,Champaign, IL,,http://IL.milesplit.com/venues/11379,,http://il.milesplit.com/meets/192570-gene-armer-invitational
outdoor,2015-04-24,Tuscaloosa, AL,,http://AL.milesplit.com/teams/AMER,,http://al.milesplit.com/meets/194718-ahsaa-3a-section-2
indoor,2015-03-27,Fargo, ND,,,,http://co.milesplit.com/meets/201705-north-dakota-state-indoor-championships
outdoor,2015-04-24,Montgomery, AL,,http://AL.milesplit.com/venues/9400,,http://al.milesplit.com/meets/194715-ahsaa-3a-section-1
outdoor,2015-04-24,Dora, AL,,http://AL.milesplit.com/teams/CORN,,http://al.milesplit.com/meets/194714-ahsaa-2a-section-4
